,Player,Team Abv.,Salary
0,Stephen Curry,GSW,34682550.0
1,LeBron James,CLE,33285709.0
2,Paul Millsap,DEN,31269231.0
3,Gordon Hayward,BOS,29727900.0
4,Blake Griffin,DET,29512900.0
5,Kyle Lowry,TOR,28703704.0
6,Russell Westbrook,OKC,28530608.0
7,Mike Conley,MEM,28530608.0
8,James Harden,HOU,28299399.0
9,DeMar DeRozan,TOR,27739975.0
10,Al Horford,BOS,27734405.0
11,Carmelo Anthony,OKC,26243760.0
12,Damian Lillard,POR,26153057.0
13,Jrue Holiday,NOP,25686667.0
14,Chris Bosh,MIA,25289390.0
15,Kevin Durant,GSW,25000000.0
16,Otto Porter,WAS,24773250.0
17,Chris Paul,HOU,24599495.0
18,C.J. McCollum,POR,23962573.0
19,Bradley Beal,WAS,23775506.0
20,Anthony Davis,NOP,23775506.0
21,Andre Drummond,DET,23775506.0
22,Hassan Whiteside,MIA,23775506.0
23,Dwight Howard,CHO,23500000.0
24,Chandler Parsons,MEM,23112004.0
25,Harrison Barnes,DAL,23112004.0
26,J.J. Redick,PHI,23000000.0
27,Marc Gasol,MEM,22642350.0
28,Kevin Love,CLE,22642350.0
29,Brook Lopez,LAL,22642350.0
30,DeAndre Jordan,LAC,22642350.0
31,Steven Adams,OKC,22471910.0
32,Giannis Antetokounmpo,MIL,22471910.0
33,Nicolas Batum,CHO,22434783.0
34,Rudy Gobert,UTA,21974719.0
35,LaMarcus Aldridge,SAS,21461010.0
36,Victor Oladipo,IND,21000000.0
37,Enes Kanter,NYK,20566802.0
38,Danilo Gallinari,LAC,20559599.0
39,Serge Ibaka,TOR,20061729.0
40,George Hill,CLE,20000000.0
41,Ryan Anderson,HOU,19578455.0
42,Paul George,OKC,19508958.0
43,Allen Crabbe,BRK,19332500.0
44,Jimmy Butler,MIN,19301070.0
45,Jeff Teague,MIN,19000000.0
46,Kawhi Leonard,SAS,18868625.0
47,Kyrie Irving,BOS,18868625.0
48,John Wall,WAS,18063850.0
49,DeMarcus Cousins,NOP,18063850.0
50,Greg Monroe,PHO,17884176.0
51,Wesley Matthews,DAL,17884176.0
52,Klay Thompson,GSW,17826150.0
53,Joakim Noah,NYK,17765000.0
54,Kentavious Caldwell-Pope,LAL,17745894.0
55,Luol Deng,LAL,17190000.0
56,Evan Turner,POR,17131148.0
57,Goran Dragic,MIA,17000450.0
58,Evan Fournier,ORL,17000000.0
59,Bismack Biyombo,ORL,17000000.0
60,Kent Bazemore,ATL,16910113.0
61,Robert Covington,PHI,16698103.0
62,Ian Mahinmi,WAS,16661641.0
63,Tim Hardaway,NYK,16500000.0
64,Draymond Green,GSW,16400000.0
65,Tristan Thompson,CLE,16400000.0
66,Reggie Jackson,DET,16000000.0
67,Pau Gasol,SAS,16000000.0
68,Tobias Harris,LAC,16000000.0
69,Dwyane Wade,CHI,15550000.0
70,Dennis Schroder,ATL,15500000.0
71,Jonas Valanciunas,TOR,15460675.0
72,Tony Parker,SAS,15453126.0
73,Timofey Mozgov,BRK,15280000.0
74,Andre Iguodala,GSW,14814815.0
75,DeMarre Carroll,BRK,14800000.0
76,Thaddeus Young,IND,14796348.0
77,Eric Bledsoe,MIL,14500000.0
78,Ricky Rubio,UTA,14275000.0
79,Joe Ingles,UTA,14136364.0
80,Gorgui Dieng,MIN,14112360.0
81,Khris Middleton,MIL,14100000.0
82,Mason Plumlee,DEN,14041096.0
83,Taj Gibson,MIN,14000000.0
84,James Johnson,MIA,13954000.0
85,Robin Lopez,CHI,13788500.0
86,J.R. Smith,CLE,13760000.0
87,Brandon Knight,PHO,13618750.0
88,Marvin Williams,CHO,13168750.0
89,Tyson Chandler,PHO,13000000.0
90,Michael Kidd-Gilchrist,CHO,13000000.0
91,Eric Gordon,HOU,12943020.0
92,Kenneth Faried,DEN,12921348.0
93,Marcin Gortat,WAS,12782609.0
94,Cody Zeller,CHO,12584270.0
95,Miles Plumlee,ATL,12500000.0
96,Nikola Mirotic,NOP,12500000.0
97,Zach Randolph,SAC,12307692.0
98,Nikola Vucevic,ORL,12250000.0
99,Solomon Hill,NOP,12236535.0
100,Wilson Chandler,DEN,12016854.0
101,Jeremy Lin,BRK,12000000.0
102,Kemba Walker,CHO,12000000.0
103,Derrick Favors,UTA,12000000.0
104,Austin Rivers,LAC,11825000.0
105,Courtney Lee,NYK,11747890.0
106,Nikola Pekovic,MIN,11600000.0
107,Jordan Clarkson,CLE,11562500.0
108,John Henson,MIL,11422536.0
109,Dion Waiters,MIA,11000000.0
110,Amir Johnson,PHI,11000000.0
111,Jamal Crawford,ATL,10942762.0
112,Alec Burks,UTA,10845506.0
113,Patty Mills,SAS,10714286.0
114,Kelly Olynyk,MIA,10607169.0
115,Omer Asik,CHI,10595505.0
116,Terrence Ross,ORL,10500000.0
117,Mirza Teletovic,MIL,10500000.0
118,Bojan Bogdanovic,IND,10500000.0
119,Jon Leuer,DET,10497319.0
120,Iman Shumpert,SAC,10337079.0
121,Maurice Harkless,POR,10162922.0
122,Jared Dudley,PHO,10000000.0
123,Darren Collison,IND,10000000.0
124,Danny Green,SAS,10000000.0
125,Meyers Leonard,POR,9904495.0
126,Tony Snell,MIL,9821429.0
127,Al Jefferson,IND,9769821.0
128,Matthew Dellavedova,MIL,9607500.0
129,Joe Johnson,SAC,9505000.0
130,Bogdan Bogdanovic,SAC,9470614.0
131,Andre Roberson,OKC,9259259.0
132,Trevor Booker,PHI,9125000.0
133,Dwight Powell,DAL,9003125.0
134,Jerryd Bayless,PHI,9000000.0
135,Avery Bradley,LAC,8808989.0
136,JaMychal Green,MEM,8533333.0
137,E'Twaun Moore,NOP,8445024.0
138,Rudy Gay,SAS,8406000.0
139,Kosta Koufos,SAC,8393000.0
140,Markieff Morris,WAS,8000000.0
141,Garrett Temple,SAC,8000000.0
142,Vince Carter,SAC,8000000.0
143,C.J. Miles,TOR,7936509.0
144,Cristiano Felicio,CHI,7843500.0
145,Shaun Livingston,GSW,7692308.0
146,Cory Joseph,IND,7630000.0
147,P.J. Tucker,HOU,7590035.0
148,Corey Brewer,LAL,7579366.0
149,Andrew Wiggins,MIN,7574322.0
150,Darrell Arthur,DEN,7464912.0
151,Channing Frye,LAL,7420912.0
152,Trevor Ariza,HOU,7420912.0
153,Al-Farouq Aminu,POR,7319035.0
154,Cole Aldrich,MIN,7300000.0
155,D.J. Augustin,ORL,7250000.0
156,Markelle Fultz,PHI,7026240.0
157,Lou Williams,LAC,7000000.0
158,Kyle Korver,CLE,7000000.0
159,Jeremy Lamb,CHO,7000000.0
160,Boban Marjanovic,LAC,7000000.0
161,Jae Crowder,UTA,6796117.0
162,Jabari Parker,MIL,6782392.0
163,Langston Galloway,DET,6666667.0
164,Lance Thomas,NYK,6655325.0
165,Ed Davis,POR,6352531.0
166,Marco Belinelli,ATL,6306060.0
167,Jonathon Simmons,ORL,6300000.0
168,Lonzo Ball,LAL,6286560.0
169,Wayne Ellington,MIA,6270000.0
170,Isaiah Thomas,LAL,6261395.0
171,Karl-Anthony Towns,MIN,6216840.0
172,Ben Simmons,PHI,6168840.0
173,Joel Embiid,PHI,6100266.0
174,Spencer Hawes,MIL,6021175.0
175,Josh McRoberts,DAL,6021175.0
176,Ish Smith,DET,6000000.0
177,Alan Williams,PHO,6000000.0
178,Shelvin Mack,ORL,6000000.0
179,Milos Teodosic,LAC,6000000.0
180,Ersan Ilyasova,ATL,6000000.0
181,Dewayne Dedmon,ATL,6000000.0
182,Tyler Johnson,MIA,5881260.0
183,Wesley Johnson,LAC,5881260.0
184,Alex Abrines,OKC,5725000.0
185,Jayson Tatum,BOS,5645400.0
186,D'Angelo Russell,BRK,5562360.0
187,Brandon Ingram,LAL,5519400.0
188,Patrick Beverley,LAC,5513514.0
189,Aaron Gordon,ORL,5504420.0
190,Deron Williams,BRK,5500000.0
191,Josh Smith,DET,5400000.0
192,Thabo Sefolosha,UTA,5250000.0
193,Jason Smith,WAS,5225000.0
194,Ben McLemore,MEM,5200000.0
195,Patrick Patterson,OKC,5192000.0
196,Nick Young,GSW,5192000.0
197,Brandan Wright,MEM,5179760.0
198,Josh Jackson,PHO,5090040.0
199,Marcus Morris,BOS,5000000.0
200,Dirk Nowitzki,DAL,5000000.0
201,Greg Monroe,BOS,5000000.0
202,Mike Muscala,ATL,5000000.0
203,Jahlil Okafor,BRK,4995120.0
204,Dante Exum,UTA,4992385.0
205,Alexis Ajinca,NOP,4961798.0
206,Jaylen Brown,BOS,4956480.0
207,Jameer Nelson,DEN,4736050.0
208,Kyle Singler,OKC,4666500.0
209,Justin Holiday,CHI,4615385.0
210,De'Aaron Fox,SAC,4609200.0
211,Marcus Smart,BOS,4538020.0
212,Kristaps Porzingis,NYK,4503600.0
213,Dragan Bender,PHO,4468800.0
214,Devin Harris,DEN,4402546.0
215,Ron Baker,NYK,4328000.0
216,Jamal Crawford,MIN,4328000.0
217,Aron Baynes,BOS,4328000.0
218,Alex Len,PHO,4187599.0
219,Nerlens Noel,DAL,4187599.0
220,Jonathan Isaac,ORL,4186320.0
221,Lance Stephenson,IND,4180000.0
222,Julius Randle,LAL,4149242.0
223,Kyle O'Quinn,NYK,4087500.0
224,Mario Hezonja,ORL,4078320.0
225,Kris Dunn,CHI,4046760.0
226,Jonas Jerebko,UTA,4000000.0
227,Nemanja Bjelica,MIN,3949999.0
228,J.J. Barea,DAL,3903900.0
229,Quincy Pondexter,CHI,3853931.0
230,Lauri Markkanen,CHI,3821640.0
231,Nik Stauskas,BRK,3807146.0
232,Willie Cauley-Stein,SAC,3704160.0
233,Buddy Hield,SAC,3675480.0
234,Will Barton,DEN,3533333.0
235,Noah Vonleh,CHI,3505233.0
236,Frank Ntilikina,NYK,3501120.0
237,Nene Hilario,HOU,3477600.0
238,Zaza Pachulia,GSW,3477600.0
239,Troy Daniels,PHO,3408520.0
240,Emmanuel Mudiay,NYK,3381480.0
241,Jamal Murray,DEN,3355320.0
242,Elfrid Payton,PHO,3332340.0
243,Rajon Rondo,NOP,3300000.0
244,Doug McDermott,DAL,3294994.0
245,Jodie Meeks,WAS,3290000.0
246,Tyreke Evans,MEM,3290000.0
247,Tarik Black,HOU,3290000.0
248,Anthony Tolliver,DET,3290000.0
249,Dennis Smith,DAL,3218280.0
250,Zach LaVine,CHI,3202217.0
251,Ekpe Udoh,UTA,3200000.0
252,T.J. Warren,PHO,3152931.0
253,Stanley Johnson,DET,3097800.0
254,Marquese Chriss,PHO,3073800.0
255,Zach Collins,POR,3057240.0
256,James Ennis,DET,3028410.0
257,Seth Curry,DAL,3028410.0
258,Mindaugas Kuzminskas,NYK,3025035.0
259,Tomas Satoransky,WAS,3000000.0
260,Rajon Rondo,CHI,3000000.0
261,Lucas Nogueira,TOR,2947305.0
262,Jusuf Nurkic,POR,2947305.0
263,Malik Monk,CHO,2904480.0
264,Frank Kaminsky,CHO,2847600.0
265,Andrew Nicholson,POR,2844429.0
266,Jakob Poeltl,TOR,2825640.0
267,Luke Kennard,DET,2759280.0
268,Justise Winslow,MIA,2705040.0
269,Michael Carter-Williams,CHO,2700000.0
270,Thon Maker,MIL,2684160.0
271,Cedi Osman,CLE,2642857.0
272,Donovan Mitchell,UTA,2621280.0
273,Myles Turner,IND,2569920.0
274,Gary Harris,DEN,2550055.0
275,Domantas Sabonis,IND,2550000.0
276,Manu Ginobili,SAS,2500000.0
277,Reggie Bullock,DET,2500000.0
278,Richard Jefferson,ATL,2500000.0
279,Malcolm Delaney,ATL,2500000.0
280,Bam Adebayo,MIA,2490360.0
281,Bruno Caboclo,SAC,2451225.0
282,Ronnie Price,OKC,2442455.0
283,Trey Lyles,DEN,2441400.0
284,Dario Saric,PHI,2422560.0
285,Taurean Waller-Prince,ATL,2422560.0
286,Rodney Hood,CLE,2386864.0
287,Justin Jackson,SAC,2365560.0
288,Shabazz Napier,POR,2361360.0
289,Clint Capela,HOU,2334520.0
290,Arron Afflalo,ORL,2328652.0
291,Raymond Felton,OKC,2328652.0
292,Nick Collison,OKC,2328652.0
293,Ramon Sessions,NYK,2328652.0
294,Jarrett Jack,NYK,2328652.0
295,Jason Terry,MIL,2328652.0
296,Udonis Haslem,MIA,2328652.0
297,Dwyane Wade,MIA,2328652.0
298,David West,GSW,2328652.0
299,Richard Jefferson,DEN,2328652.0
300,Jose Calderon,CLE,2328652.0
301,Andrew Bogut,LAL,2328652.0
302,Devin Booker,PHO,2319360.0
303,Georgios Papagiannis,SAC,2301360.0
304,Dante Cunningham,BRK,2300000.0
305,Jameer Nelson,DET,2262871.0
306,Justin Patton,MIN,2247480.0
307,Guerschon Yabusele,BOS,2247480.0
308,Monta Ellis,IND,2245400.0
309,Cameron Payne,CHI,2203440.0
310,Denzel Valentine,CHI,2186400.0
311,Josh Smith,NOP,2183934.0
312,Kyle Anderson,SAS,2151704.0
313,D.J. Wilson,MIL,2135040.0
314,Matt Barnes,SAC,2133542.0
315,Derrick Rose,UTA,2116955.0
316,Marreese Speights,ORL,2116955.0
317,Michael Beasley,NYK,2116955.0
318,Aaron Brooks,MIN,2116955.0
319,Luc Mbah a Moute,HOU,2116955.0
320,JaVale McGee,GSW,2116955.0
321,Jeff Green,CLE,2116955.0
322,Tony Allen,CHI,2116955.0
323,Damien Wilkins,IND,2116955.0
324,Omri Casspi,GSW,2106470.0
325,Mario Chalmers,MEM,2106407.0
326,Darius Miller,NOP,2100000.0
327,Kelly Oubre,WAS,2093040.0
328,Juan Hernangomez,DEN,2076840.0
329,T.J. Leaf,IND,2028360.0
330,Tim Frazier,WAS,2000000.0
331,Anthony Tolliver,SAC,2000000.0
332,Terry Rozier,BOS,1988520.0
333,Luke Babbitt,MIA,1974159.0
334,John Collins,ATL,1936920.0
335,Anderson Varejao,POR,1913345.0
336,Rashad Vaughn,NOP,1889040.0
337,Tim Duncan,SAS,1881250.0
338,Wade Baldwin,MEM,1874400.0
339,Larry Sanders,MIL,1865547.0
340,Harry Giles,SAC,1859400.0
341,Sam Dekker,LAC,1794600.0
342,Terrance Ferguson,OKC,1785000.0
343,Henry Ellenson,DET,1780800.0
344,Eric Moreland,DET,1739333.0
345,Jerian Grant,CHI,1713840.0
346,Jarrett Allen,BRK,1713720.0
347,Mike Scott,WAS,1709538.0
348,Tyler Zeller,MIL,1709538.0
349,Quincy Acy,BRK,1709538.0
350,Malik Beasley,DEN,1700640.0
351,Mike Dunleavy,ATL,1662500.0
352,Delon Wright,TOR,1645200.0
353,OG Anunoby,TOR,1645200.0
354,Ante Zizic,CLE,1645200.0
355,Caris LeVert,BRK,1632480.0
356,Justin Anderson,PHI,1579440.0
357,Tyler Lydon,DEN,1579440.0
358,Jeff Withey,DAL,1577320.0
359,Ian Clark,NOP,1577230.0
360,Shabazz Muhammad,MIN,1577230.0
361,Willie Reed,CHI,1577230.0
362,DeAndre Liggins,MIL,1577230.0
363,DeAndre' Bembry,ATL,1567200.0
364,Joffrey Lauvergne,SAS,1524305.0
365,Jerami Grant,OKC,1524305.0
366,Johnny O'Bryant,NYK,1524305.0
367,Tyler Ennis,LAL,1524305.0
368,Julyan Stone,CHO,1524305.0
369,Sean Kilpatrick,BRK,1524305.0
370,Joe Harris,BRK,1524305.0
371,Spencer Dinwiddie,BRK,1524305.0
372,Shane Larkin,BOS,1524305.0
373,Glenn Robinson,IND,1524305.0
374,Bobby Brown,HOU,1524305.0
375,Bobby Portis,CHI,1516320.0
376,Malachi Richardson,TOR,1504560.0
377,Arron Afflalo,SAC,1500000.0
378,Norman Powell,TOR,1471382.0
379,Josh Richardson,MIA,1471382.0
380,Rondae Hollis-Jefferson,BRK,1471382.0
381,Tyus Jones,MIN,1471382.0
382,Jarell Martin,MEM,1471382.0
383,Larry Nance,CLE,1471382.0
384,Troy Williams,HOU,1471382.0
385,Chris McCullough,WAS,1471382.0
386,Raul Neto,UTA,1471382.0
387,Pat Connaughton,POR,1471382.0
388,Richaun Holmes,PHI,1471382.0
389,T.J. McConnell,PHI,1471382.0
390,Josh Huestis,OKC,1471382.0
391,Jordan Mickey,MIA,1471382.0
392,Montrezl Harrell,LAC,1471382.0
393,Joe Young,IND,1471382.0
394,Kevon Looney,GSW,1471382.0
395,Nikola Jokic,DEN,1471382.0
396,Salah Mejri,DAL,1471382.0
397,Caleb Swanigan,POR,1465920.0
398,Furkan Korkmaz,PHI,1465920.0
399,Willy Hernangomez,CHO,1435750.0
400,Kyle Kuzma,LAL,1423560.0
401,Tony Bradley,UTA,1414920.0
402,Derrick White,SAS,1404600.0
403,Josh Hart,LAL,1394520.0
404,Timothe Luwawu-Cabarrot,PHI,1386600.0
405,Kevin Martin,MIN,1360305.0
406,Brice Johnson,MEM,1331160.0
407,Pascal Siakam,TOR,1312611.0
408,Dejounte Murray,SAS,1312611.0
409,Skal Labissiere,SAC,1312611.0
410,A.J. Hammons,MIA,1312611.0
411,Deyonta Davis,MEM,1312611.0
412,Chinanu Onuaku,HOU,1312611.0
413,Damian Jones,GSW,1312611.0
414,Wayne Selden,MEM,1312611.0
415,Cheick Diallo,NOP,1312611.0
416,Joel Bolomboy,UTA,1312611.0
417,Davis Bertans,SAS,1312611.0
418,Bryn Forbes,SAS,1312611.0
419,Jake Layman,POR,1312611.0
420,Tyler Ulis,PHO,1312611.0
421,Marcus Georges-Hunt,MIN,1312611.0
422,Malcolm Brogdon,MIL,1312611.0
423,Rodney McGruder,MIA,1312611.0
424,Andrew Harrison,MEM,1312611.0
425,Ivica Zubac,LAL,1312611.0
426,Patrick McCaw,GSW,1312611.0
427,Dorian Finney-Smith,DAL,1312611.0
428,Yogi Ferrell,DAL,1312611.0
429,Treveon Graham,CHO,1312611.0
430,David Nwaba,CHI,1312611.0
431,Paul Zipser,CHI,1312611.0
432,Isaiah Whitehead,BRK,1312611.0
433,Sheldon Mac,ATL,1312611.0
434,Okaro White,ATL,1312611.0
435,Nicolas Brussino,ATL,1312611.0
436,Diamond Stone,ATL,1312611.0
437,Isaiah Taylor,ATL,1312611.0
438,Kay Felder,CHI,1312611.0
439,Fred VanVleet,TOR,1312611.0
440,Derrick Jones,PHO,1312611.0
441,Chasson Randle,NYK,1312611.0
442,Stephen Zimmerman,LAL,1312611.0
443,Semi Ojeleye,BOS,1291892.0
444,Frank Mason,SAC,1184385.0
445,Abdel Nader,BOS,1167333.0
446,Damyean Dotson,NYK,1100000.0
447,Paul Pierce,LAC,1096080.0
448,Isaiah Canaan,PHO,1069308.0
449,Wesley Iwundu,ORL,1050000.0
450,Livio Jean-Charles,SAS,1035200.0
451,Justin Hamilton,TOR,1000000.0
452,Gerald Henderson,PHI,1000000.0
453,Rade Zagorac,MEM,950000.0
454,Ivan Rabb,MEM,950000.0
455,Ike Anigbogu,IND,950000.0
456,Gerald Green,HOU,947248.0
457,Jason Thompson,GSW,945126.0
458,Martell Webster,WAS,830000.0
459,Frank Jackson,NOP,815615.0
460,Jordan Bell,GSW,815615.0
461,Dakari Johnson,OKC,815615.0
462,Sterling Brown,MIL,815615.0
463,Dillon Brooks,MEM,815615.0
464,Jawun Evans,LAC,815615.0
465,Sindarius Thornwell,LAC,815615.0
466,Dwayne Bacon,CHO,815615.0
467,Tyler Dorsey,ATL,815615.0
468,Davon Reed,PHO,815615.0
469,Royce O'Neale,UTA,815615.0
470,Alfonzo McKinnie,TOR,815615.0
471,Brandon Paul,SAS,815615.0
472,Khem Birch,ORL,815615.0
473,Thomas Bryant,LAL,815615.0
474,Zhou Qi,HOU,815615.0
475,Maxi Kleber,DAL,815615.0
476,Daniel Theis,BOS,815615.0
477,Sean Kilpatrick,MIL,789725.0
478,Trey Burke,NYK,784160.0
479,Alex Poythress,IND,778668.0
480,Marco Belinelli,PHI,776217.0
481,Joe Johnson,HOU,749905.0
482,Dwight Buycks,DET,748160.0
483,Tyler Cavanaugh,ATL,679919.0
484,Carlos Delfino,LAC,650000.0
485,Caron Butler,SAC,517220.0
486,Jordan Farmar,LAC,510921.0
487,Ersan Ilyasova,PHI,502328.0
488,Leandro Barbosa,PHO,500000.0
489,Tibor Pleiss,PHI,500000.0
490,Michael Gbinije,DET,500000.0
491,Aaron Gray,DET,452059.0
492,Festus Ezeli,POR,333334.0
493,C.J. Watson,ORL,333334.0
494,Gal Mekel,DAL,315760.0
495,Miroslav Raduljica,LAC,300000.0
496,Cameron Oliver,HOU,300000.0
497,Ramon Sessions,WAS,263124.0
498,Jordan Crawford,NOP,250000.0
499,Emeka Okafor,NOP,239204.0
500,Wade Baldwin,POR,222476.0
501,Isaiah Canaan,CHI,200000.0
502,Rakeem Christmas,IND,172552.0
503,DeAndre Liggins,NOP,172238.0
504,Sean Kilpatrick,LAC,172238.0
505,Rashad Vaughn,ORL,166258.0
506,Troy Williams,NYK,148318.0
507,Travis Wear,LAL,148318.0
508,Carrick Felix,WAS,140902.0
509,Brandon Rush,POR,119602.0
510,Brandon Jennings,MIL,119010.0
511,Derrick Williams,LAL,104059.0
512,K.J. McDaniels,TOR,100000.0
513,Marshall Plumlee,NYK,100000.0
514,Georges Niang,IND,100000.0
515,Quinn Cook,ATL,100000.0
516,Demetrius Jackson,BOS,92858.0
517,Kyle Collinsworth,DAL,92160.0
518,Josh Gray,PHO,92160.0
519,Naz Mitrou-Long,UTA,92160.0
520,Shaquille Harrison,PHO,92160.0
521,"Walt Lemon, Jr.",NOP,92160.0
522,Antonius Cleveland,ATL,92160.0
523,Jaylen Morris,ATL,92160.0
524,Mike James,PHO,87552.0
525,Jarell Eddie,BOS,83129.0
526,Jarell Eddie,CHI,83129.0
527,Briante Weber,MEM,83129.0
528,Demetrius Jackson,HOU,74159.0
529,Georgios Papagiannis,POR,74159.0
530,Larry Drew,NOP,74159.0
531,Scotty Hopson,DAL,74159.0
532,Isaiah Canaan,HOU,53465.0
533,Tyler Cavanaugh,ATL,50000.0
534,Kyle Collinsworth,DAL,50000.0
535,Demetrius Jackson,HOU,50000.0
536,Daniel Ochefu,WAS,50000.0
537,Michael Young,WAS,50000.0
538,Nate Wolters,UTA,50000.0
539,Naz Mitrou-Long,UTA,50000.0
540,Eric Griffin,UTA,50000.0
541,Jacob Pullen,PHI,50000.0
542,James Michael McAdoo,PHI,50000.0
543,Nigel Hayes,NYK,50000.0
544,Jalen Moore,MIL,50000.0
545,Gary Payton,MIL,50000.0
546,Matt Williams,MIA,50000.0
547,Vince Hunter,MEM,50000.0
548,Vander Blue,LAL,50000.0
549,V.J. Beachem,LAL,50000.0
550,Briante Weber,LAL,50000.0
551,Jamil Wilson,LAC,50000.0
552,Briante Weber,HOU,50000.0
553,Luis Montero,DET,50000.0
554,Gian Clavell,DAL,50000.0
555,Antonius Cleveland,DAL,50000.0
556,Diamond Stone,CHI,50000.0
557,Yakuba Ouattara,BRK,50000.0
558,Jeremy Evans,ATL,50000.0
559,Nigel Hayes,LAL,46080.0
560,Nigel Hayes,TOR,46080.0
561,Rodney Purvis,ORL,46080.0
562,Xavier Rathan-Mayes,MEM,46080.0
563,Trey McKinney-Jones,IND,46080.0
564,Jameel Warney,DAL,46080.0
565,Marcus Thornton,CLE,46080.0
566,DeAndre Liggins,ATL,26773.0
567,Axel Toupane,NOP,25000.0
568,Quinn Cook,NOP,25000.0
569,Chris Johnson,HOU,25000.0
570,Beno Udrih,DET,25000.0
571,Joel Bolomboy,MIL,22248.0
572,Jarell Eddie,CHI,17224.0
